dataset,variant,seed,epsilon,selected_threshold,validation_fp_rate,test_n_clean,test_fp_images,test_fp_rate,test_false_detections,test_fppi,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vsb_rarefirst,p1_clahe,43,0.01,0.6,0.01104417670682731,2988,40,0.013386880856760375,43,0.014390896921017403,811,1173,697,114,476,0.8594327990135635,0.5942028985507246,0.6001794740112557
vsb_rarefirst,p1_clahe,44,0.01,0.6,0.007362784471218206,2988,32,0.0107095046854083,33,0.01104417670682731,770,1173,668,102,505,0.8675324675324675,0.5694799658994032,0.5983947367057996
vsb_rarefirst,p1_clahe,42,0.02,0.5,0.019076305220883535,2988,74,0.024765729585006693,78,0.02610441767068273,964,1173,804,160,369,0.8340248962655602,0.6854219948849105,0.6833867741027332
vsb_rarefirst,p1_clahe,43,0.02,0.5,0.0214190093708166,2988,79,0.02643908969210174,89,0.029785809906291833,972,1173,785,187,388,0.8076131687242798,0.6692242114236999,0.6591099044205878
vsb_rarefirst,p1_clahe,44,0.02,0.5,0.015394912985274432,2988,63,0.02108433734939759,67,0.02242302543507363,939,1173,779,160,394,0.8296059637912673,0.6641091219096334,0.6560297346409415
vsb_rarefirst,p1_clahe,42,0.05,0.3,0.04685408299866131,2988,172,0.05756358768406961,208,0.06961178045515395,1239,1173,901,338,272,0.7271993543179984,0.7681159420289855,0.7418751688541355
vsb_rarefirst,p1_clahe,43,0.05,0.3,0.04183400267737617,2988,176,0.058902275769745646,216,0.07228915662650602,1287,1173,903,384,270,0.7016317016317016,0.7698209718670077,0.7224530031176812
vsb_rarefirst,p1_clahe,44,0.05,0.3,0.04484605087014726,2988,149,0.0498661311914324,178,0.059571619812583666,1227,1173,886,341,287,0.7220863895680522,0.7553282182438192,0.71878369099706
vsb_rarefirst,p2_illumination,42,0.0,0.75,0.0,2988,1,0.00033467202141900936,1,0.00033467202141900936,320,1173,304,16,869,0.95,0.2591645353793691,0.2888343957685
vsb_rarefirst,p2_illumination,43,0.0,0.75,0.0,2988,6,0.002008032128514056,6,0.002008032128514056,417,1173,392,25,781,0.9400479616306955,0.33418584825234443,0.3845446205046747
vsb_rarefirst,p2_illumination,44,0.0,0.75,0.0,2988,6,0.002008032128514056,6,0.002008032128514056,393,1173,368,25,805,0.9363867684478372,0.3137254901960784,0.34736174526865443
vsb_rarefirst,p2_illumination,42,0.01,0.6,0.004016064257028112,2988,28,0.009370816599732263,30,0.010040160642570281,718,1173,640,78,533,0.8913649025069638,0.545609548167093,0.5743883900182654
vsb_rarefirst,p2_illumination,43,0.01,0.6,0.007362784471218206,2988,48,0.01606425702811245,52,0.01740294511378849,784,1173,685,99,488,0.8737244897959183,0.5839727195225917,0.6125900170215584
vsb_rarefirst,p2_illumination,44,0.01,0.6,0.007028112449799197,2988,40,0.013386880856760375,40,0.013386880856760375,759,1173,674,85,499,0.8880105401844532,0.5745950554134698,0.6119844473433785
vsb_rarefirst,p2_illumination,42,0.02,0.5,0.01740294511378849,2988,82,0.02744310575635877,89,0.029785809906291833,906,1173,767,139,406,0.8465783664459161,0.6538789428815004,0.6550005925101392
vsb_rarefirst,p2_illumination,43,0.02,0.5,0.01606425702811245,2988,85,0.028447121820615796,92,0.030789825970548863,956,1173,789,167,384,0.8253138075313807,0.6726342710997443,0.6790358898025283
vsb_rarefirst,p2_illumination,44,0.02,0.5,0.017737617135207495,2988,72,0.024096385542168676,75,0.025100401606425703,944,1173,778,166,395,0.8241525423728814,0.6632566069906224,0.6757030223254403
vsb_rarefirst,p2_illumination,42,0.05,0.3,0.05187416331994645,2988,175,0.05856760374832664,211,0.07061579651941098,1280,1173,913,367,260,0.71328125,0.7783461210571185,0.738693526961484
vsb_rarefirst,p2_illumination,43,0.05,0.3,0.045180722891566265,2988,163,0.054551539491298526,195,0.06526104417670683,1250,1173,910,340,263,0.728,0.7757885763000852,0.7436643216485535
vsb_rarefirst,p2_illumination,44,0.05,0.3,0.041499330655957165,2988,151,0.05053547523427041,181,0.06057563587684069,1249,1173,906,343,267,0.7253803042433947,0.7723785166240409,0.7420031993811248
vsb_rarefirst,p3_unsharp,42,0.0,0.8,0.0,2988,0,0.0,0,0.0,314,1173,298,16,875,0.9490445859872612,0.25404944586530265,0.2897368160846485
vsb_rarefirst,p3_unsharp,43,0.0,0.8,0.0,2988,0,0.0,0,0.0,250,1173,236,14,937,0.944,0.20119352088661552,0.22789442485269804
vsb_rarefirst,p3_unsharp,44,0.0,0.8,0.0,2988,2,0.0006693440428380187,2,0.0006693440428380187,267,1173,249,18,924,0.9325842696629213,0.21227621483375958,0.24685433437615312
vsb_rarefirst,p3_unsharp,42,0.01,0.6,0.007697456492637216,2988,48,0.01606425702811245,49,0.01639892904953146,800,1173,703,97,470,0.87875,0.5993179880647911,0.6252326043295677
vsb_rarefirst,p3_unsharp,43,0.01,0.6,0.004350736278447122,2988,23,0.007697456492637216,23,0.007697456492637216,733,1173,648,85,525,0.8840381991814461,0.5524296675191815,0.5863199238697722
vsb_rarefirst,p3_unsharp,44,0.01,0.6,0.006358768406961178,2988,46,0.015394912985274432,50,0.01673360107095047,756,1173,656,100,517,0.8677248677248677,0.5592497868712702,0.5827300592059866
vsb_rarefirst,p3_unsharp,42,0.02,0.5,0.023427041499330656,2988,87,0.029116465863453816,91,0.030455153949129853,969,1173,804,165,369,0.8297213622291022,0.6854219948849105,0.6854019905505361
vsb_rarefirst,p3_unsharp,43,0.02,0.5,0.013052208835341365,2988,52,0.01740294511378849,57,0.019076305220883535,906,1173,764,142,409,0.8432671081677704,0.6513213981244672,0.6538241420356081
vsb_rarefirst,p3_unsharp,44,0.02,0.5,0.01673360107095047,2988,85,0.028447121820615796,95,0.03179384203480589,922,1173,767,155,406,0.8318872017353579,0.6538789428815004,0.6480148493839959
vsb_rarefirst,p3_unsharp,42,0.05,0.3,0.04718875502008032,2988,174,0.05823293172690763,203,0.0679384203480589,1254,1173,912,342,261,0.7272727272727273,0.7774936061381074,0.7510144606480366
vsb_rarefirst,p3_unsharp,43,0.05,0.3,0.03681392235609103,2988,125,0.04183400267737617,156,0.05220883534136546,1243,1173,914,329,259,0.7353177795655672,0.7791986359761296,0.7346005681045079
